3 GAN 3ta ||| 3 bur3 surface area , 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ,
aca za3 ||| field Za-nēr ;
ukkene engar ||| Ukkene , the plowman ;
cunigin 3 GAN 3ta ||| total : 3 bur3 surface area at 3 each ,
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area , 3 each ;
cunigin 3 GAN 3ta ||| total : 3 bur3 3 iku surface area , 3 each ;
cunigin 3 GAN 3 la 3ta ||| total : 3 bur3 3 eše3 3 iku surface area , 3 less 3 each ;
cunigin 3 GAN 3ta ||| total : 3 eše3 3 iku surface area at 3 each ;
cunigin 3 GAN 3ta ||| total : 3 bur3 surface area , 3 each ;
cunigin cebi 3 gur ||| total , its barley : 3 gur 3 barig 3 ban2 ;
cunigin zizbi 3 gur ||| total , its emmer : 3 gur 3 barig ;
cunigin gigbi 3 sila ||| total , its wheat : 3 barig 3 ban2 3 sila3 ;
nubandagu carakam ||| manager of oxen : Šarakam ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 less 3 each ;
3 GAN 3ta ||| 3 bur3 3 eše3 surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur 3 barig ,
aca latur ||| field Latur ;
uremah engar ||| Ur-emaḫ , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur 3 barig ,
aca agectin usa dumulugal ||| field Ageštin bordering Prince ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 surface area , 3 less 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca amarsuencarakiag ||| field Amar-Suen-of-Šara-beloved ;
abasaga engar ||| Abba-saga , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca dukici ||| field Hillock-of-acacia ;
3 GAN 3ta ||| 3 eše3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca za3 ||| field Za-nēr ;
lugalcala engar ||| Lugal-šala , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 surface area , 3 each ;
3 GAN 3 la 3ta ||| 3 bur3 3 iku surface area , 3 less 3 each ;
zizbi 3 sila gur ||| its emmer : 3 gur 3 barig 3 sila3 ,
aca ukunuti ||| field Uku-nuti ;
3 GAN 3ta ||| 3 bur3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca asaldua ||| field Poplar-planted ;
3 GAN 3ta ||| 3 eše3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur 3 barig ,
aca puauz ||| field Pu-a’uz ;
cecani engar ||| Šešani , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur 3 ban2 ,
aca asaldua ||| field Poplar-planted ;
lugalguene engar ||| Lugal-gu-ene , the plowman ;
3 gur ||| 3 gur 3 barig 3 ban2 ,
urlugal ||| Ur-lugal ;
cunigin 3 GAN 3ta ||| total : 3 eše3 3 iku surface area at 3 each ;
cunigin 3 GAN 3ta ||| total : 3 bur3 3 iku surface area at 3 each ;
cunigin 3 GAN 3 la 3ta ||| total : 3 bur3 3 iku surface area at 3 less 3 each ;
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 surface area at 3 each ;
cunigin cebi 3 gur ||| total , its barley : 3 gur 3 barig 3 ban2 ;
cunigin zizbi 3 sila gur ||| total , its emmer : 3 gur 3 barig 3 sila3 ;
nubandagu gugua ||| manager of oxen : Gu’ugu’a
ugula urlugal ||| foreman : Ur-lugal ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ;
3 GAN 3ta ||| 3 bur3 3 eše3 surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca giapinkura ||| field Gi-apin-kuřa ;
urmami engar ||| Ur-Mami , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur 3 barig ,
aca dukici ||| field Hillock-of-acacia ;
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca akicah ||| field Akišaḫ ;
3 GAN 3 la 3ta ||| 3 eše3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca lugal ||| field King ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi ||| its barley : 3 ,
aca kaGAN durbartab ||| field ka-GAN of Du-Urbartab ;
akala engar ||| Ayakalla , the plowman ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 surface area at 3 less 3 each ,
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ,
zizbi 3 gur ||| its emmer : 3 gur ,
gigbi 3 gur ||| its wheat : 3 gur 3 ban2 ,
aca latur ||| field Latur ;
3 GAN 3ta ||| 3 bur3 surface area at 3 each ,
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca zalagagectin ||| field Zalaga’ageštin ;
urninazu engar ||| Ayakalla , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi ||| its barley : 3 ;
aca ducara ||| field Hillock-of-Šara ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca usa dumu lugal ||| field bordering on Prince ;
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig 3 ban2 ;
aca za3 ||| field Za-nēr ;
nigarkidu engar ||| Nigar-kidu , the plowman ;
3 gur ||| 3 gur ,
lugalazida ||| Lugal-azida ;
cunigin 3 GAN 3ta ||| total : 3 bur3 surface area at 3 each ,
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 each ,
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 each ,
cunigin 3 GAN 3 la 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
cunigin 3 GAN 3ta ||| total : 3 bur3 3 iku surface area at 3 each ,
cunigin cebi 3 gur ||| total , its barley : 3 gur 3 barig 3 ban2 ,
cunigin zizbi 3 gur ||| total , its emmer : 3 gur ,
cunigin gigbi 3 gur ||| total , its wheat : 3 gur 3 ban2 ,
nubandagu lugalazida ||| oxen manager : Lugal-azida ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
3 GAN 3 la 3ta ||| 3 eše3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca lamah ||| field Lamaḫ ;
lugalazida engar ||| Ayakalla , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca durbartab ||| field Hillock-of-Urbartab ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca carahuma ||| Šaraḫuma
hubalis engar ||| Ḫuballis , the plowman ;
3 GAN 3ta ||| 3 bur3 surface area at 3 each ,
3 GAN 3ta ||| 3 bur3 3 eše3 surface area at 3 each ,
3 GAN 3ta ||| 3 bur3 3 eše3 surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca dugecika ||| field Hillock-of-plantoil ;
lugalcunire engar ||| Lugal-šunire , the plowman ;
3 GAN 3 la 3ta ||| 3 bur3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca lamah ||| field Lamaḫ ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca za3 ||| field Za-nēr ;
3 GAN 3ta ||| 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca puauz ||| field Pu’a’uz ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
3 GAN 3ta ||| 3 eše3 surface area at 3 each ,
zizbi 3 gur ||| its emmer : 3 gur ;
aca ukunuti ||| field Ukunuti ;
icarum engar ||| Išarrum , the plowman ;
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca icum ||| field Išum ;
uranice engar ||| Uraniše , the plowman ;
3 ce gur ||| 3 gur barley ,
ludingira ||| Lu-dingira ;
3 gur ||| 3 gur 3 barig 3 ban2 ,
urmami ||| Ur-Mami ;
cunigin 3 GAN 3ta ||| total : 3 bur3 surface area at 3 each ,
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 each ,
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 each ,
cunigin 3 GAN 3 la 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
cunigin 3 GAN 3ta ||| total : 3 eše3 surface area at 3 each ,
cunigin cebi 3 gur ||| total , its barley : 3 gur 3 ban2 ;
cunigin zizbi 3 gur ||| total , its emmer : 3 gur ;
nubandagu urmami ||| oxen manager : Ur-Mami ,
ugula ludingira ||| foreman : Lu-dingira ;
3 GAN 3ta ||| 3 bur3 surface area at 3 each ,
3 GAN 3ta ||| 3 bur3 3 eše3 surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca giapinkura ||| field Gi-apin-kuřa ;
3 GAN 3ta ||| 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca igiemahce ||| field Igi-emaḫše ;
lusaizu engar ||| Lu-sa-izu , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 surface area at 3 each ,
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca icum ||| field Išum ;
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca amarsuencarakiag ||| field Amar-Suen-Šara-kiag ;
ursuen engar ||| Ur-Suen , the plowman ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
3 GAN 3ta ||| 3 bur3 3 eše3 surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca latur ||| field Latur ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca zalaga ||| field Flash ;
lugalzagesi ||| Lugal-zagesi ;
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca durbartab ||| field Hillock-of-Urbartab ;
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca za3 ||| field Za-nēr ;
3 GAN 3 la 3ta ||| 3 bur3 surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca amarsuencarakiag ||| field Amar-Suen-Šara-kiag
ursagamu engar ||| Ur-saga , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca akicah ||| Akišaḫ ;
urama engar ||| Ur-amma , the plowman ;
3 ce gur ||| 3 gur 3 barig ;
lubanda ||| Lu-banda ;
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 each ,
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 surface area at 3 each ;
cunigin 3 GAN 3ta ||| total : 3 bur3 surface area at 3 each ;
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 each ;
cunigin 3 GAN 3 la 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ;
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 surface area at 3 each ;
cunigin cebi 3 gur ||| total , its barley : 3 gur 3 barig ;
nubandagu lubanda ||| oxen manager : Lu-banda ;
3 GAN 3ta ||| 3 bur3 3 eše3 surface area at 3 each ,
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca lamah ||| field Lamaḫ ;
urgigir engar ||| Ur-gigir , the plowman ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca lamah ||| field Lamaḫ ;
3 GAN 3ta ||| 3 bur3 surface area at 3 each ,
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca dugecika ||| field Hillock-of-plantoil ;
engarzi engar ||| Engarzi , the plowman ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca usa dumu lugal ||| field bordering Prince ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca carahuma ||| field Saraḫuma ;
ceckala engar ||| Šeškalla , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
zizbi 3 gur ||| its emmer : 3 gur ;
gigbi 3 sila gur ||| its wheat : 3 gur 3 barig 3 ban2 3 sila3 ;
aca ukunuti ||| field Ukunuti ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca dukici ||| field Hillock-of-acacia ;
abagina engar ||| Abbagina , the plowman ;
3 GAN 3ta ||| 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca puauz ||| field Pu’a’uz ;
3 GAN 3 la 3ta ||| 3 eše3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca lugal ||| field King ;
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi ||| its barley : 3 ;
aca kaGAN durbartab ||| field ka-GAN Hillock-of-Urbartab ;
calimbeli engar ||| Šālim-belī , the plowman ;
3 ce gur ||| 3 gur barley ,
ceckala ||| Šeškalla ;
3 gur abagina ||| 3 gur , Abbagina ;
cunigin 3 GAN 3ta ||| total : 3 bur3 surface area at 3 each ;
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 each ;
cunigin 3 GAN 3 la 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ;
cunigin 3 GAN 3 la 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ;
cunigin cebi 3 gur ||| total , its barley : 3 gur 3 barig ;
cunigin zizbi 3 gur ||| total , its emmer : 3 gur ;
cunigin gigbi 3 sila gur ||| total , its wheat : 3 gur 3 barig 3 ban2 3 sila3 ;
nubandagu ceckala dumu tirgu ||| oxen manager : Šeškalla , son of Tirgu ,
ugula abagina ||| foreman : Abbagina ;
3 GAN 3ta ||| 3 eše3 surface area at 3 each ,
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca ugurtur ||| field Ururtur ;
kala engar ||| Kalla , the plowman ;
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 ban2 ;
aca lamah ||| field Lamaḫ ;
urdumuzida engar ||| Ur-Dumuzida , the plowman ;
3 GAN 3ta ||| 3 bur3 surface area at 3 each ,
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca asaldua ||| field Planted-poplar ;
3 GAN 3ta ||| 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca lugal ||| field King ;
urbaba engar ||| Ur-Baba , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 surface area at 3 less 3 each ,
3 GAN 3ta ||| 3 iku surface area at 3 each ,
cebi 3 sila gur ||| 3 gur 3 barig 3 sila3 ,
aca ukunuti ||| field Ukunuti ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca usa dumu lugal ||| field bordering on Prince ;
ceckala engar ||| Šeškalla , the plowman ;
3 GAN 3ta ||| 3 eše3 3 iku surface area at 3 each ,
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca akicah ||| field Akišaḫ ;
urdun engar ||| Ur-dun , the plowman ;
3 gur ||| 3 gur 3 barig ,
ceckala ||| Šeškalla ;
3 sila gur ||| 3 gur 3 ban2 3 sila3 ,
urgepar ||| Ur-gepar ;
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 each ;
cunigin 3 GAN 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 each ;
cunigin 3 GAN 3 la 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ;
cunigin 3 GAN 3 la 3ta ||| total : 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ;
cunigin 3 GAN 3ta ||| total : 3 eše3 3 iku surface area at 3 each ;
cunigin cebi 3 sila gur ||| total , its barley : 3 gur 3 barig 3 ban2 3 sila3 ;
nubandagu ceckala ||| oxen manager : Šeškalla ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 les 3 each ,
3 GAN 3ta ||| 3 bur3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
zizbi 3 gur ||| its emmer : 3 gur 3 barig ;
gigbi 3 gur ||| its wheat : 3 gur 3 barig 3 ban2 ;
aca latur ||| field Latur ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig 3 ban2 ;
aca zalaga ||| field Flash ;
3 GAN 3 la 3ta ||| 3 eše3 3 iku surface area at 3 less 3 each ,
3 GAN 3 la 3ta ||| 3 eše3 3 iku surface area at 3 less 3 each ,
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca kaGAN ||| field Ka-GAN ;
uregula ||| Ur-egula ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 3 iku surface area at 3 less 3 each ,
3 GAN 3ta ||| 3 eše3 surface area at 3 each ,
caba aca bala 3 GAN 3 la 3ta igal ||| therein , field of the bala : 3 eše3 3 iku surface area at 3 less 3 , being ;
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca ugurtur ||| field Ugurtur ;
3 GAN 3ta ||| 3 bur3 surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca zalaga ||| field Flash ;
lucara engar ||| Lu-Šara , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 surface area at 3 each ,
cebi 3 gur ||| its barley : 3 gur ;
aca za3 ||| field Za-nēr ;
3 GAN 3ta ||| 3 bur3 surface area at 3 each ,
caba aca bala 3 GAN 3ta igal ||| therein , field of the bala : 3 eše3 surface area at 3 , being ;
cebi 3 gur ||| its barley : 3 gur 3 barig ;
aca icum ||| field Išum ;
urdingira engar ||| Ur-dingira , the plowman ;
