Alignment not found |  ,  | Line no.  1
Alignment not found |  Šu  | Line no.  90
Alignment not found |  ’  | Line no.  90
Alignment not found |  eša  | Line no.  90
Alignment not found |  ,  | Line no.  90
Alignment not found |  ”  | Line no.  90
Alignment not found |  ;  | Line no.  91
Alignment not found |  ”  | Line no.  91
Alignment not found |  ,  | Line no.  98
Alignment not found |  ,  | Line no.  99
Alignment not found |  .  | Line no.  100
Alignment not found |  ,  | Line no.  101
Alignment not found |  ,  | Line no.  103
Alignment not found |  ,  | Line no.  105
Alignment not found |  barig  | Line no.  107
Alignment not found |  ,  | Line no.  107
Alignment not found |  ban2  | Line no.  107
Alignment not found |  of  | Line no.  107
Alignment not found |  .  | Line no.  107
Alignment not found |  ,  | Line no.  109
Alignment not found |  ,  | Line no.  110
Alignment not found |  ,  | Line no.  112
Alignment not found |  ”  | Line no.  112
Alignment not found |  ;  | Line no.  113
Alignment not found |  ”  | Line no.  113
Alignment not found |  ,  | Line no.  114
Alignment not found |  ,  | Line no.  115
Alignment not found |  of  | Line no.  116
Alignment not found |  .  | Line no.  116
Alignment not found |  ,  | Line no.  117
Alignment not found |  their  | Line no.  117
Alignment not found |  :  | Line no.  117
Alignment not found |  per  | Line no.  117
Alignment not found |  ;  | Line no.  117
Alignment not found |  ,  | Line no.  118
Alignment not found |  ;  | Line no.  118
Alignment not found |  ,  | Line no.  119
Alignment not found |  ;  | Line no.  120
Alignment not found |  ,  | Line no.  121
Alignment not found |  ;  | Line no.  121
Alignment not found |  ,  | Line no.  122
Alignment not found |  ;  | Line no.  122
Alignment not found |  ,  | Line no.  123
Alignment not found |  of  | Line no.  124
Alignment not found |  ;  | Line no.  124
Alignment not found |  ,  | Line no.  125
Alignment not found |  ,  | Line no.  126
Alignment not found |  ;  | Line no.  126
Alignment not found |  ,  | Line no.  127
Alignment not found |  ;  | Line no.  127
Alignment not found |  ,  | Line no.  128
Alignment not found |  ;  | Line no.  129
Alignment not found |  ,  | Line no.  130
Alignment not found |  ,  | Line no.  131
Alignment not found |  ;  | Line no.  131
Alignment not found |  ,  | Line no.  132
Alignment not found |  ;  | Line no.  132
Alignment not found |  ,  | Line no.  133
Alignment not found |  ;  | Line no.  134
Alignment not found |  eše3  | Line no.  135
Alignment not found |  ,  | Line no.  135
Alignment not found |  ;  | Line no.  135
Alignment not found |  ,  | Line no.  136
Alignment not found |  ,  | Line no.  138
Alignment not found |  ,  | Line no.  139
Alignment not found |  ;  | Line no.  139
Alignment not found |  ,  | Line no.  140
Alignment not found |  ;  | Line no.  141
Alignment not found |  ,  | Line no.  142
Alignment not found |  ;  | Line no.  142
Alignment not found |  ,  | Line no.  143
Alignment not found |  ;  | Line no.  143
Alignment not found |  ,  | Line no.  144
Alignment not found |  ,  | Line no.  145
Alignment not found |  ,  | Line no.  146
Alignment not found |  ;  | Line no.  147
Alignment not found |  ,  | Line no.  148
Alignment not found |  eše3  | Line no.  149
Alignment not found |  ,  | Line no.  149
Alignment not found |  ;  | Line no.  149
Alignment not found |  ,  | Line no.  150
Alignment not found |  ;  | Line no.  150
Alignment not found |  ,  | Line no.  151
Alignment not found |  ;  | Line no.  152
Alignment not found |  ,  | Line no.  153
Alignment not found |  ;  | Line no.  153
Alignment not found |  ,  | Line no.  154
Alignment not found |  ;  | Line no.  155
Alignment not found |  ,  | Line no.  156
Alignment not found |  ;  | Line no.  156
Alignment not found |  ,  | Line no.  157
Alignment not found |  ,  | Line no.  159
Alignment not found |  ,  | Line no.  160
Alignment not found |  ,  | Line no.  160
Alignment not found |  eše3  | Line no.  161
Alignment not found |  ,  | Line no.  161
Alignment not found |  ,  | Line no.  161
Alignment not found |  ,  | Line no.  162
Alignment not found |  ;  | Line no.  163
Alignment not found |  ,  | Line no.  164
Alignment not found |  ,  | Line no.  164
Alignment not found |  ,  | Line no.  165
Alignment not found |  ,  | Line no.  167
Alignment not found |  ,  | Line no.  168
Alignment not found |  ,  | Line no.  169
Alignment not found |  ;  | Line no.  169
Alignment not found |  ,  | Line no.  170
Alignment not found |  ;  | Line no.  170
Alignment not found |  eše3  | Line no.  171
Alignment not found |  ,  | Line no.  171
Alignment not found |  ;  | Line no.  171
Alignment not found |  ;  | Line no.  172
Alignment not found |  ,  | Line no.  173
Alignment not found |  ;  | Line no.  173
Alignment not found |  ,  | Line no.  174
Alignment not found |  ;  | Line no.  174
Alignment not found |  ,  | Line no.  175
Alignment not found |  ;  | Line no.  175
Alignment not found |  ,  | Line no.  176
Alignment not found |  ;  | Line no.  176
Alignment not found |  manager  | Line no.  177
Alignment not found |  of  | Line no.  177
Alignment not found |  ;  | Line no.  177
Alignment not found |  ,  | Line no.  178
Alignment not found |  ;  | Line no.  178
Alignment not found |  ,  | Line no.  179
Alignment not found |  ;  | Line no.  179
Alignment not found |  ,  | Line no.  180
Alignment not found |  ;  | Line no.  181
Alignment not found |  ,  | Line no.  182
Alignment not found |  eše3  | Line no.  183
Alignment not found |  ,  | Line no.  183
Alignment not found |  ;  | Line no.  183
Alignment not found |  ,  | Line no.  184
Alignment not found |  ;  | Line no.  185
Alignment not found |  eše3  | Line no.  186
Alignment not found |  ,  | Line no.  186
Alignment not found |  ;  | Line no.  186
Alignment not found |  ,  | Line no.  187
Alignment not found |  ;  | Line no.  187
Alignment not found |  ,  | Line no.  188
Alignment not found |  ;  | Line no.  189
Alignment not found |  ,  | Line no.  190
Alignment not found |  eše3  | Line no.  191
Alignment not found |  ,  | Line no.  191
Alignment not found |  ;  | Line no.  191
Alignment not found |  ,  | Line no.  192
Alignment not found |  ;  | Line no.  193
Alignment not found |  ,  | Line no.  194
Alignment not found |  ;  | Line no.  194
Alignment not found |  ,  | Line no.  195
Alignment not found |  ,  | Line no.  197
Alignment not found |  ,  | Line no.  198
Alignment not found |  ;  | Line no.  198
Alignment not found |  ,  | Line no.  199
Alignment not found |  ;  | Line no.  199
Alignment not found |  ;  | Line no.  201
Alignment not found |  ,  | Line no.  202
Alignment not found |  ;  | Line no.  202
Alignment not found |  ,  | Line no.  203
Alignment not found |  ;  | Line no.  204
Alignment not found |  ,  | Line no.  205
Alignment not found |  ;  | Line no.  205
Alignment not found |  ,  | Line no.  206
Alignment not found |  Pu-a  | Line no.  207
Alignment not found |  ’  | Line no.  207
Alignment not found |  uz  | Line no.  207
Alignment not found |  ;  | Line no.  207
Alignment not found |  ,  | Line no.  208
Alignment not found |  eše3  | Line no.  209
Alignment not found |  ,  | Line no.  209
Alignment not found |  ;  | Line no.  209
Alignment not found |  ,  | Line no.  210
Alignment not found |  ;  | Line no.  211
Alignment not found |  ,  | Line no.  212
Alignment not found |  ,  | Line no.  213
Alignment not found |  ;  | Line no.  214
Alignment not found |  ;  | Line no.  215
Alignment not found |  ;  | Line no.  216
Alignment not found |  at  | Line no.  217
Alignment not found |  ;  | Line no.  217
Alignment not found |  ;  | Line no.  218
Alignment not found |  ,  | Line no.  219
Alignment not found |  ;  | Line no.  219
Alignment not found |  ,  | Line no.  220
Alignment not found |  manager  | Line no.  221
Alignment not found |  of  | Line no.  221
Alignment not found |  Gu  | Line no.  221
Alignment not found |  ’  | Line no.  221
Alignment not found |  ugu  | Line no.  221
Alignment not found |  ’  | Line no.  221
Alignment not found |  a  | Line no.  221
Alignment not found |  ;  | Line no.  222
Alignment not found |  ,  | Line no.  223
Alignment not found |  ;  | Line no.  223
Alignment not found |  ,  | Line no.  224
Alignment not found |  ;  | Line no.  224
Alignment not found |  ,  | Line no.  225
Alignment not found |  ;  | Line no.  226
Alignment not found |  ,  | Line no.  227
Alignment not found |  ,  | Line no.  228
Alignment not found |  ;  | Line no.  228
Alignment not found |  ,  | Line no.  229
Alignment not found |  ;  | Line no.  230
Alignment not found |  ,  | Line no.  231
Alignment not found |  ;  | Line no.  232
Alignment not found |  ;  | Line no.  233
Alignment not found |  at  | Line no.  234
Alignment not found |  ,  | Line no.  234
Alignment not found |  ;  | Line no.  235
Alignment not found |  ;  | Line no.  236
Alignment not found |  eše3  | Line no.  237
Alignment not found |  ,  | Line no.  237
Alignment not found |  3  | Line no.  238
Alignment not found |  ,  | Line no.  238
Alignment not found |  of  | Line no.  239
Alignment not found |  ;  | Line no.  239
Alignment not found |  ,  | Line no.  240
Alignment not found |  at  | Line no.  241
Alignment not found |  ,  | Line no.  241
Alignment not found |  ,  | Line no.  242
Alignment not found |  ,  | Line no.  243
Alignment not found |  ,  | Line no.  244
Alignment not found |  ,  | Line no.  245
Alignment not found |  ;  | Line no.  246
Alignment not found |  ,  | Line no.  247
Alignment not found |  eše3  | Line no.  248
Alignment not found |  ,  | Line no.  248
Alignment not found |  ;  | Line no.  249
Alignment not found |  Zalaga  | Line no.  250
Alignment not found |  ’  | Line no.  250
Alignment not found |  ageštin  | Line no.  250
Alignment not found |  ;  | Line no.  250
Alignment not found |  ,  | Line no.  251
Alignment not found |  eše3  | Line no.  252
Alignment not found |  ,  | Line no.  252
Alignment not found |  3  | Line no.  253
Alignment not found |  ;  | Line no.  253
Alignment not found |  ;  | Line no.  254
Alignment not found |  eše3  | Line no.  255
Alignment not found |  ,  | Line no.  255
Alignment not found |  ;  | Line no.  256
Alignment not found |  ;  | Line no.  257
Alignment not found |  ,  | Line no.  258
Alignment not found |  ;  | Line no.  259
Alignment not found |  ,  | Line no.  261
Alignment not found |  ,  | Line no.  262
Alignment not found |  ;  | Line no.  263
Alignment not found |  ,  | Line no.  264
Alignment not found |  eše3  | Line no.  265
Alignment not found |  ,  | Line no.  265
Alignment not found |  eše3  | Line no.  266
Alignment not found |  ,  | Line no.  266
Alignment not found |  at  | Line no.  267
Alignment not found |  ,  | Line no.  267
Alignment not found |  ,  | Line no.  268
Alignment not found |  ,  | Line no.  269
Alignment not found |  ,  | Line no.  269
Alignment not found |  ,  | Line no.  270
Alignment not found |  ,  | Line no.  270
Alignment not found |  ,  | Line no.  271
Alignment not found |  ,  | Line no.  271
Alignment not found |  ;  | Line no.  272
Alignment not found |  eše3  | Line no.  273
Alignment not found |  ,  | Line no.  273
Alignment not found |  at  | Line no.  274
Alignment not found |  ,  | Line no.  274
Alignment not found |  ;  | Line no.  275
Alignment not found |  ;  | Line no.  276
Alignment not found |  ,  | Line no.  277
Alignment not found |  ,  | Line no.  278
Alignment not found |  ;  | Line no.  279
Alignment not found |  ;  | Line no.  280
Alignment not found |  eše3  | Line no.  281
Alignment not found |  ,  | Line no.  281
Alignment not found |  ;  | Line no.  282
Alignment not found |  ,  | Line no.  284
Alignment not found |  ,  | Line no.  285
Alignment not found |  ,  | Line no.  286
Alignment not found |  ,  | Line no.  287
Alignment not found |  ;  | Line no.  288
Alignment not found |  ;  | Line no.  289
Alignment not found |  ,  | Line no.  290
Alignment not found |  at  | Line no.  291
Alignment not found |  ,  | Line no.  291
Alignment not found |  ;  | Line no.  292
Alignment not found |  ;  | Line no.  293
Alignment not found |  eše3  | Line no.  294
Alignment not found |  ,  | Line no.  294
Alignment not found |  ;  | Line no.  295
Alignment not found |  ,  | Line no.  297
Alignment not found |  ;  | Line no.  298
Alignment not found |  Pu  | Line no.  299
Alignment not found |  ’  | Line no.  299
Alignment not found |  a  | Line no.  299
Alignment not found |  ’  | Line no.  299
Alignment not found |  uz  | Line no.  299
Alignment not found |  ;  | Line no.  299
Alignment not found |  eše3  | Line no.  300
Alignment not found |  ,  | Line no.  300
Alignment not found |  eše3  | Line no.  301
Alignment not found |  at  | Line no.  301
Alignment not found |  ,  | Line no.  301
Alignment not found |  ,  | Line no.  302
Alignment not found |  ;  | Line no.  303
Alignment not found |  ;  | Line no.  304
Alignment not found |  ,  | Line no.  305
Alignment not found |  ,  | Line no.  306
Alignment not found |  at  | Line no.  307
Alignment not found |  ,  | Line no.  307
Alignment not found |  ;  | Line no.  308
Alignment not found |  ;  | Line no.  309
Alignment not found |  ,  | Line no.  310
Alignment not found |  ,  | Line no.  311
Alignment not found |  ;  | Line no.  312
Alignment not found |  ,  | Line no.  313
Alignment not found |  ;  | Line no.  314
Alignment not found |  ,  | Line no.  315
Alignment not found |  eše3  | Line no.  316
Alignment not found |  ,  | Line no.  316
Alignment not found |  eše3  | Line no.  317
Alignment not found |  ,  | Line no.  317
Alignment not found |  eše3  | Line no.  318
Alignment not found |  at  | Line no.  318
Alignment not found |  ,  | Line no.  318
Alignment not found |  ,  | Line no.  319
Alignment not found |  ,  | Line no.  320
Alignment not found |  ;  | Line no.  320
Alignment not found |  ,  | Line no.  321
Alignment not found |  ;  | Line no.  321
Alignment not found |  ,  | Line no.  322
Alignment not found |  ;  | Line no.  323
Alignment not found |  ,  | Line no.  324
Alignment not found |  ,  | Line no.  325
Alignment not found |  ;  | Line no.  326
Alignment not found |  ;  | Line no.  327
Alignment not found |  ,  | Line no.  328
Alignment not found |  ;  | Line no.  329
Alignment not found |  ;  | Line no.  330
Alignment not found |  ,  | Line no.  331
Alignment not found |  ,  | Line no.  332
Alignment not found |  eše3  | Line no.  333
Alignment not found |  at  | Line no.  333
Alignment not found |  ,  | Line no.  333
Alignment not found |  ;  | Line no.  334
Alignment not found |  ;  | Line no.  335
Alignment not found |  ,  | Line no.  336
Alignment not found |  ;  | Line no.  337
Alignment not found |  ;  | Line no.  338
Alignment not found |  ,  | Line no.  339
Alignment not found |  eše3  | Line no.  340
Alignment not found |  at  | Line no.  340
Alignment not found |  ,  | Line no.  340
Alignment not found |  ,  | Line no.  341
Alignment not found |  ;  | Line no.  342
Alignment not found |  ;  | Line no.  343
Alignment not found |  eše3  | Line no.  344
Alignment not found |  ,  | Line no.  344
Alignment not found |  ,  | Line no.  345
Alignment not found |  ;  | Line no.  346
Alignment not found |  ;  | Line no.  347
Alignment not found |  ;  | Line no.  348
Alignment not found |  ,  | Line no.  349
Alignment not found |  ;  | Line no.  350
Alignment not found |  ;  | Line no.  351
Alignment not found |  ,  | Line no.  352
Alignment not found |  ;  | Line no.  353
Alignment not found |  at  | Line no.  355
Alignment not found |  ,  | Line no.  355
Alignment not found |  ;  | Line no.  356
Alignment not found |  ,  | Line no.  358
Alignment not found |  eše3  | Line no.  359
Alignment not found |  ,  | Line no.  359
Alignment not found |  ;  | Line no.  360
Alignment not found |  ;  | Line no.  361
Alignment not found |  ,  | Line no.  362
Alignment not found |  ;  | Line no.  363
Alignment not found |  ;  | Line no.  364
Alignment not found |  eše3  | Line no.  365
Alignment not found |  ,  | Line no.  365
Alignment not found |  ;  | Line no.  366
Alignment not found |  ;  | Line no.  367
Alignment not found |  eše3  | Line no.  368
Alignment not found |  ;  | Line no.  368
Alignment not found |  at  | Line no.  369
Alignment not found |  ;  | Line no.  369
Alignment not found |  ;  | Line no.  370
Alignment not found |  ,  | Line no.  371
Alignment not found |  ;  | Line no.  371
Alignment not found |  ;  | Line no.  372
Alignment not found |  ,  | Line no.  373
Alignment not found |  at  | Line no.  374
Alignment not found |  ,  | Line no.  374
Alignment not found |  ;  | Line no.  375
Alignment not found |  ;  | Line no.  376
Alignment not found |  ,  | Line no.  377
Alignment not found |  eše3  | Line no.  378
Alignment not found |  at  | Line no.  378
Alignment not found |  ,  | Line no.  378
Alignment not found |  ;  | Line no.  379
Alignment not found |  ;  | Line no.  380
Alignment not found |  ,  | Line no.  381
Alignment not found |  eše3  | Line no.  382
Alignment not found |  ,  | Line no.  382
Alignment not found |  ;  | Line no.  383
Alignment not found |  ;  | Line no.  384
Alignment not found |  ,  | Line no.  385
Alignment not found |  eše3  | Line no.  386
Alignment not found |  at  | Line no.  386
Alignment not found |  ,  | Line no.  386
Alignment not found |  ;  | Line no.  387
Alignment not found |  ;  | Line no.  388
Alignment not found |  eše3  | Line no.  389
Alignment not found |  ,  | Line no.  389
Alignment not found |  ;  | Line no.  390
Alignment not found |  ;  | Line no.  391
Alignment not found |  ,  | Line no.  392
Alignment not found |  eše3  | Line no.  393
Alignment not found |  ,  | Line no.  393
Alignment not found |  eše3  | Line no.  394
Alignment not found |  at  | Line no.  394
Alignment not found |  ,  | Line no.  394
Alignment not found |  ;  | Line no.  395
Alignment not found |  ban2  | Line no.  396
Alignment not found |  ;  | Line no.  397
Alignment not found |  eše3  | Line no.  398
Alignment not found |  ,  | Line no.  398
Alignment not found |  ;  | Line no.  399
Alignment not found |  ;  | Line no.  400
Alignment not found |  ,  | Line no.  401
Alignment not found |  ,  | Line no.  402
Alignment not found |  ;  | Line no.  403
Alignment not found |  Pu  | Line no.  404
Alignment not found |  ’  | Line no.  404
Alignment not found |  a  | Line no.  404
Alignment not found |  ’  | Line no.  404
Alignment not found |  uz  | Line no.  404
Alignment not found |  ;  | Line no.  404
Alignment not found |  at  | Line no.  405
Alignment not found |  ,  | Line no.  405
Alignment not found |  ;  | Line no.  406
Alignment not found |  ;  | Line no.  407
Alignment not found |  ,  | Line no.  408
Alignment not found |  3  | Line no.  409
Alignment not found |  ;  | Line no.  409
Alignment not found |  ;  | Line no.  410
Alignment not found |  ,  | Line no.  411
Alignment not found |  ,  | Line no.  412
Alignment not found |  ;  | Line no.  413
Alignment not found |  ,  | Line no.  414
Alignment not found |  ;  | Line no.  414
Alignment not found |  ;  | Line no.  415
Alignment not found |  eše3  | Line no.  416
Alignment not found |  ;  | Line no.  416
Alignment not found |  eše3  | Line no.  417
Alignment not found |  at  | Line no.  417
Alignment not found |  ;  | Line no.  417
Alignment not found |  at  | Line no.  418
Alignment not found |  ;  | Line no.  418
Alignment not found |  ,  | Line no.  419
Alignment not found |  ;  | Line no.  419
Alignment not found |  ,  | Line no.  420
Alignment not found |  ;  | Line no.  420
Alignment not found |  ,  | Line no.  421
Alignment not found |  ban2  | Line no.  421
Alignment not found |  ,  | Line no.  422
Alignment not found |  ,  | Line no.  422
Alignment not found |  ;  | Line no.  423
Alignment not found |  ,  | Line no.  424
Alignment not found |  eše3  | Line no.  425
Alignment not found |  at  | Line no.  425
Alignment not found |  ,  | Line no.  425
Alignment not found |  ;  | Line no.  426
Alignment not found |  ;  | Line no.  427
Alignment not found |  ,  | Line no.  428
Alignment not found |  ,  | Line no.  429
Alignment not found |  ;  | Line no.  430
Alignment not found |  ;  | Line no.  431
Alignment not found |  ,  | Line no.  432
Alignment not found |  ,  | Line no.  433
Alignment not found |  eše3  | Line no.  434
Alignment not found |  ,  | Line no.  434
Alignment not found |  ;  | Line no.  435
Alignment not found |  ;  | Line no.  436
Alignment not found |  ,  | Line no.  437
Alignment not found |  ;  | Line no.  438
Alignment not found |  ;  | Line no.  439
Alignment not found |  ,  | Line no.  440
Alignment not found |  eše3  | Line no.  441
Alignment not found |  ,  | Line no.  441
Alignment not found |  at  | Line no.  442
Alignment not found |  ,  | Line no.  442
Alignment not found |  ,  | Line no.  443
Alignment not found |  ;  | Line no.  445
Alignment not found |  at  | Line no.  446
Alignment not found |  ,  | Line no.  446
Alignment not found |  ;  | Line no.  447
Alignment not found |  ;  | Line no.  448
Alignment not found |  ,  | Line no.  449
Alignment not found |  ,  | Line no.  450
Alignment not found |  ,  | Line no.  451
Alignment not found |  ;  | Line no.  452
Alignment not found |  ;  | Line no.  453
Alignment not found |  ,  | Line no.  454
Alignment not found |  ,  | Line no.  455
Alignment not found |  ;  | Line no.  456
Alignment not found |  ;  | Line no.  458
Alignment not found |  eše3  | Line no.  459
Alignment not found |  ;  | Line no.  459
Alignment not found |  eše3  | Line no.  460
Alignment not found |  ;  | Line no.  460
Alignment not found |  eše3  | Line no.  461
Alignment not found |  at  | Line no.  461
Alignment not found |  ;  | Line no.  461
Alignment not found |  eše3  | Line no.  462
Alignment not found |  at  | Line no.  462
Alignment not found |  ;  | Line no.  462
Alignment not found |  ;  | Line no.  463
Alignment not found |  ,  | Line no.  464
Alignment not found |  ban2  | Line no.  464
Alignment not found |  ;  | Line no.  465
Alignment not found |  eše3  | Line no.  466
Alignment not found |  at  | Line no.  466
Alignment not found |  ,  | Line no.  466
Alignment not found |  ,  | Line no.  467
Alignment not found |  ;  | Line no.  468
Alignment not found |  ;  | Line no.  469
Alignment not found |  ;  | Line no.  470
Alignment not found |  ;  | Line no.  471
Alignment not found |  eše3  | Line no.  472
Alignment not found |  ,  | Line no.  472
Alignment not found |  ;  | Line no.  473
Alignment not found |  ;  | Line no.  474
Alignment not found |  at  | Line no.  475
Alignment not found |  ,  | Line no.  475
Alignment not found |  at  | Line no.  476
Alignment not found |  ,  | Line no.  476
Alignment not found |  ;  | Line no.  477
Alignment not found |  ;  | Line no.  478
Alignment not found |  ;  | Line no.  479
Alignment not found |  eše3  | Line no.  480
Alignment not found |  at  | Line no.  480
Alignment not found |  ,  | Line no.  480
Alignment not found |  ,  | Line no.  481
Alignment not found |  ,  | Line no.  482
Alignment not found |  of  | Line no.  482
Alignment not found |  the  | Line no.  482
Alignment not found |  :  | Line no.  482
Alignment not found |  at  | Line no.  482
Alignment not found |  ,  | Line no.  482
Alignment not found |  ;  | Line no.  482
Alignment not found |  ;  | Line no.  483
Alignment not found |  ;  | Line no.  484
Alignment not found |  ,  | Line no.  485
Alignment not found |  ;  | Line no.  486
Alignment not found |  ;  | Line no.  487
Alignment not found |  ,  | Line no.  488
Alignment not found |  ,  | Line no.  489
Alignment not found |  ;  | Line no.  490
Alignment not found |  ,  | Line no.  492
Alignment not found |  ,  | Line no.  493
Alignment not found |  of  | Line no.  493
Alignment not found |  the  | Line no.  493
Alignment not found |  :  | Line no.  493
Alignment not found |  ,  | Line no.  493
Alignment not found |  ;  | Line no.  493
Alignment not found |  ;  | Line no.  494
Alignment not found |  ;  | Line no.  495
Alignment not found |  ,  | Line no.  496
Alignment not found |  ,  | Line no.  497
Alignment not found |  ;  | Line no.  498
Alignment not found |  ;  | Line no.  499
Alignment not found |  eše3  | Line no.  500
Alignment not found |  ,  | Line no.  500
Alignment not found |  ;  | Line no.  501
Alignment not found |  ,  | Line no.  503
Alignment not found |  eše3  | Line no.  504
Alignment not found |  ,  | Line no.  504
Alignment not found |  ;  | Line no.  505
Alignment not found |  ;  | Line no.  506
Alignment not found |  ,  | Line no.  507
Alignment not found |  ,  | Line no.  508
Alignment not found |  eše3  | Line no.  509
Alignment not found |  ,  | Line no.  509
Alignment not found |  ;  | Line no.  510
Alignment not found |  ;  | Line no.  511
Alignment not found |  eše3  | Line no.  512
Alignment not found |  ,  | Line no.  512
Alignment not found |  ,  | Line no.  513
Alignment not found |  <  | Line no.  514
Alignment not found |  46  | Line no.  514
Alignment not found |  gur  | Line no.  514
Alignment not found |  >  | Line no.  514
Alignment not found |  ;  | Line no.  514
Alignment not found |  ;  | Line no.  515
Alignment not found |  ,  | Line no.  516
Alignment not found |  ,  | Line no.  517
Alignment not found |  ;  | Line no.  518
Alignment not found |  eše3  | Line no.  519
Alignment not found |  ,  | Line no.  519
Alignment not found |  ;  | Line no.  520
Alignment not found |  <  | Line no.  521
Alignment not found |  10  | Line no.  521
Alignment not found |  bur3  | Line no.  521
Alignment not found |  >  | Line no.  521
Alignment not found |  3/4  | Line no.  521
Alignment not found |  !  | Line no.  521
Alignment not found |  ;  | Line no.  521
Alignment not found |  at  | Line no.  522
Alignment not found |  ;  | Line no.  522
Alignment not found |  eše3  | Line no.  523
Alignment not found |  at  | Line no.  523
Alignment not found |  ;  | Line no.  523
Alignment not found |  eše3  | Line no.  524
Alignment not found |  ;  | Line no.  524
Alignment not found |  ,  | Line no.  525
Alignment not found |  of  | Line no.  525
Alignment not found |  the  | Line no.  525
Alignment not found |  ,  | Line no.  525
Alignment not found |  at  | Line no.  525
